
  ==========================================
  Studio Pro version: 9.0.4
  Started at: 4/1/2023, 19:16:46
  ==========================================
  

[2023-01-04T22:16:58.101Z] : [warn]: There is a small amount of free memory (RAM) left, 94.85% of RAM is being used (11568 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:19:58.118Z] : [warn]: There is a small amount of free memory (RAM) left, 93.52% of RAM is being used (11406 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:22:58.134Z] : [warn]: There is a small amount of free memory (RAM) left, 92.63% of RAM is being used (11297 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:25:58.142Z] : [warn]: There is a small amount of free memory (RAM) left, 94.51% of RAM is being used (11527 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:28:58.149Z] : [warn]: There is a small amount of free memory (RAM) left, 94.33% of RAM is being used (11505 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:31:58.167Z] : [warn]: There is a small amount of free memory (RAM) left, 92.15% of RAM is being used (11239 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:34:58.174Z] : [warn]: There is a small amount of free memory (RAM) left, 91.47% of RAM is being used (11156 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:37:58.178Z] : [warn]: There is a small amount of free memory (RAM) left, 92.3% of RAM is being used (11257 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:40:58.184Z] : [warn]: There is a small amount of free memory (RAM) left, 91.76% of RAM is being used (11191 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:43:58.189Z] : [warn]: There is a small amount of free memory (RAM) left, 92.08% of RAM is being used (11230 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:46:58.203Z] : [warn]: There is a small amount of free memory (RAM) left, 91.59% of RAM is being used (11170 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:49:58.221Z] : [warn]: There is a small amount of free memory (RAM) left, 91.82% of RAM is being used (11198 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:52:58.235Z] : [warn]: There is a small amount of free memory (RAM) left, 91.87% of RAM is being used (11205 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:55:58.249Z] : [warn]: There is a small amount of free memory (RAM) left, 91.74% of RAM is being used (11189 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T22:58:58.253Z] : [warn]: There is a small amount of free memory (RAM) left, 91.81% of RAM is being used (11197 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:01:58.260Z] : [warn]: There is a small amount of free memory (RAM) left, 91.77% of RAM is being used (11192 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:04:58.274Z] : [warn]: There is a small amount of free memory (RAM) left, 91.78% of RAM is being used (11193 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:07:58.285Z] : [warn]: There is a small amount of free memory (RAM) left, 92.11% of RAM is being used (11234 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:10:58.301Z] : [warn]: There is a small amount of free memory (RAM) left, 93.24% of RAM is being used (11372 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:13:58.307Z] : [warn]: There is a small amount of free memory (RAM) left, 93.24% of RAM is being used (11372 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:16:58.315Z] : [warn]: There is a small amount of free memory (RAM) left, 92.78% of RAM is being used (11316 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:19:58.322Z] : [warn]: There is a small amount of free memory (RAM) left, 92.87% of RAM is being used (11326 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

